ITEM,EN RegEx,GE Dieter,,GE RegEx,alt1,alt2,alt3,alt4,alt5,CorrectSwedishTranslation1,CorrectSwedishTranslation2,CorrectSwedishTranslation3,CorrectSwedishTranslation4,CorrectSwedishTranslation5,CorrectSwedishTranslation6,CorrectSwedishTranslation7,CorrectSwedishTranslation8,CorrectSwedishTranslation9,CorrectSwedishTranslation10,CorrectSwedishTranslation11,CorrectSwedishTranslation12,CommentAboutSwedishTranslation,Swedish regexp corrected,FR Louise,alt1,alt2,alt3,alt4,alt5,CATEGORY,CLOSURE,EN (SV) ACTION,GE ACTION,Source-peFinder,Source-Original ConText,Source-criticlEventFinder-in addition to peFinder,Source-BioscopeAll,Source-BioscopeFiltered,Source-Development-Round1,Zogg's items,Source-Swedish-physician,Source-Swedish Guidelines,Ignore-ID from toCorrectReplacedRegEx_Final_toWendy.xlsx
call,,anrufen,,"(ruf.{0,2}\s.*?\ban\b|angerufen|telefonier.{0,2})",,,,,,ringa,,,,,,,,,,,,,,,,,,,,future,,forward,forward,,1,,,,,,,,
come back for,,kommt wieder,,"(komm.{0,2}\swieder)",,,,,,komma tillbaka för,återvända för,,,,,,,,,,,,,,,,,,,future,,forward,forward,,1,,,,,,,,
come back to,,"kommt wieder, um",,"(komm.{0,2}\swieder\s(zurück)?,\sum",,,,,,komma tillbaka till,återvända till,,,,,,,,,,,,,,,,,,,future,,forward,forward,,1,,,,,,,,
if,,wenn,,,falls,"im Fall, dass",,,,om,,,,,,,,,,,,,,,,,,,,future,,forward,forward,,1,,,,,,,,
if clinical concern for,"r""""""if\sclinical\s(concern|suspicion)\sfor""""""",falls klinische Bedenken,,(wenn|falls)(\ses)?\sklinische\sBedenken),wenn klinische Bedenken für,"im Fall, dass klinische Bedenken für",,,,om klinisk oro för,om det finns klinisk oro,,,,,,,,,,,,,,,,,,,future,,forward,forward,,,1,,,,,,,
if there is concern for,,falls es Bedenken gibt,,,,,,,,om det finns oro för,om det finns anledning till,,,,,,,,,,,,,,,,,,,future,,forward,forward,,,1,,,,,,,
look out for,,achten Sie auf,,"acht.{0,2}\s((Sie\sauf|Ihr\sauf|auf)",,,,,,utkik efter,uppmärksamma,,,,,,,,,,,,,,,,,,,future,,forward,forward,,1,,,,,,,,
return,,kehrt zurück,,(kehrt\s.*?\bzurück\b|kommt\s.*?\bzurück\b),zurückkommen,,,,,återvända,,,,,,,,,,,,,,,,,,,,future,,forward,discontinuous,,1,,,,,,,,
returning,,,,,,,,,,återvänder,,,,,,,,,,,,,,,,,,,,future,,forward,,,1,,,,,,,,
should he,,sollte er,,,,,,,,skulle han,,,,,,,,,,,,,,,,,,,,future,,forward,forward,,1,,,,,,,,
should she,,sollte sie,,,,,,,,skulle hon,,,,,,,,,,,,,,,,,,,,future,,forward,forward,,1,,,,,,,,
should the,,sollte die,,,,,,,,skulle,,,,,,,,,,,,,,,,,,,,future,,forward,forward,,1,,,,,,,,
should there,,sollte dort,,sollt(e|en)\s(dort|da|es),,,,,,bör det,,,,,,,,,,,,,,,,,,,,future,,forward,forward,,1,,,,,,,,
again noted,,nochmals darauf hingewiesen,,nochmals\s(darauf)?(hingewiesen|angemerkt),nochmals angemerkt,nochmals festgestellt,,,,noteras igen,noterades igen,återigen noteras,,,,,,,,,,word order + inflection,,,,,,,,historical,,bidirectional,bidirectional,1,,,,,,,,,207
change in,,Veränderung bei,,,Änderung bei,,,,,förändring av,,,,,,,,,,,,preposition,,,,,,,,historical,,forward,forward,1,1,,,,,,,,204
changing,,ändern,,,,,,,,ändrande,ändras,,,,,,,,,,,infleciton,,,,,,,,historical,,forward,forward,1,1,,,,,,,,203
chronic,,chronisch,,"\bchronisch.{0,2}\b",,,,,,kronisk,,,,,,,,,,,,,,,,,,,,historical,,forward,forward,1,1,,,,,,,,194
clinical history,,Krankengeschichte,,,Anamnese,Vorgeschichte,,,,anamnes,,,,,,,,,,,,,,,,,,,,historical,,forward,forward,1,1,,,,,,,,201
decrease in,,geht zurück,,,verringert sich,,,,,minskning,,,,,,,,,,,,,,,,,,,,historical,,forward,forward,,,1,,,,,,,
diminished,,verminderte sich,,,verschwand,,,,,minskad,minskade,,,,,,,,,,,,,,,,,,,historical,,bidirectional,backward,1,1,,,,,,,,206
documented,,dokumentiert,,"(dokumentiert.{0,2}|belegt.{0,2})",belegten,,,,,dokumenterad,,,,,,,,,,,,,,,,,,,,historical,,forward,forward,1,1,,,,,,,,192
evolving,,entwickelnde,,"\bentwickelnd.{0,2}\b",,,,,,utvecklas,utvecklar,,,,,,,,,,,,,,,,,,,historical,,bidirectional,bidirectional,,,1,,,,,,,
experiences,,Erfahrungen,,\b(Erfahr(ung|ungen)|Kenntni(s|sse))\b,Kenntnisse,,,,,erfarenheter,,,,,,,,,,,,,,,,,,,,historical,,forward,forward,,1,,,,,,,,
family history of,,Krankengeschichte zu,,,Familiengeschichte zu,,,,,släkthistoria av,hereditet för,ärftlighet,i släkten,,,,,,,,,,,,,,,,,historical,,forward,forward,,1,,,,,,,,
healing,"r""\b(healing|healed)\b""",Heilung,,"\b(Heilung.{0,2}|Heilungsprozess.{0,2}|Gesundungsprozess.{0,2}\b)",Heilungsprozess,Gesundungsprozess,,,,läkning,läker,,,,,,,,,,,,,,,,,,,historical,,bidirectional,bidirectional,,,1,,,,,,,
history,,Krankengsechichte,,,Anamnese,,,,,historik,,,,,,,,,,,,,,,,,,,,historical,,forward,forward,,1,,,,,,,,
in the past for,,in der Vergangenheit für,,,,,,,,i det förflutna för,tidigare,,,,,,,,,,,,,,,,,,,historical,,forward,forward,,1,,,,,,,,
interval change,,Intervallwechsel,,\bIntervall(wechsel|änderung|veränderung)\b,Intervalländerung,Intervallveränderung,,,,intervallförändring,,,,,,,,,,,,,,,,,,,,historical,,bidirectional,bidirectional,1,1,,,,,,,,199
known to have,,"bekannt, dies zu haben",,"bekannt,\sein.{0,2}.*?\bzu\b\shaben",,,,,,kända för att ha,känt att,,,,,,,,,,,,,,,,,,,historical,,forward,forward,,1,,,,,,,,
old,,alt,,,,,,,,gamla,gammal,,,,,,,,,,,,,,,,,,,historical,,bidirectional,bidirectional,,,1,,,,,,,
persistent,,hartnäckig,,,beharrlich,persistent,anhaltend,,,ihållande,persisterande,,,,,,,,,,,,,,,,,,,historical,,bidirectional,bidirectional,,,1,,,,,,,
pre-existing,,bereits bestehend,,,bereits existierend,,,,,preexisterande,tidigare,,,,,,,,,,,,,,,,,,,historical,,forward,forward,,1,,,,,,,,
previous,,vorhergehend,,"(zuvor\serwähnt.{0,2}|vorhergehend.{0,2}|vorausgehend.{0,2})",zuvor erwähnten,vorausgehend,,,,tidigare,föregående,,,,,,,,,,,,,,,,,,,historical,,forward,forward,1,1,,,,,,,,195
prior,,vorher,,"\b(prior.{0,2}|früh.{0,2}|pior.{0,2}|vorhergehend.{0,2}|vorausgehend.{0,2})\b",vorhergehend,vorausgehend,prior,,,tidigare,tidigare,,,,,,,,,,,word sens,,,,,,,,historical,,bidirectional,bidirectional,1,1,,,,,,,,205
prior study,,vorausgehende Studien,,"((vorausgehend.{0,2}|vorhergehend.{0,2}\sStudi(e|en))|Vorstudi(e|en))",vorhergehende Studie,vorausgehende Untersuchungen,vorhergehende Untersuchung,,,tidigare studie,,,,,,,,,,,,,,,,,,,,historical,,bidirectional,bidirectional,1,1,,,,,,,,209
progression of,"r""""""progression\s(of|in)""""""",Zunahme von,,(Zunahme|Progression|Fortschreiten)\s(des|der|einer|eines|von|dieses|dieser),Fortschreiten von,Progression von,,,,progression av,,,,,,,,,,,,,,,,,,,,historical,,forward,forward,,,1,,,,,,,
redemonstration of,,erneute Darstellung,,"((erneut.{0,2}|neulich.{0,2}|wiederholt.{0,2})\s(Nachweis|Darstellung|Beweis)\s(der|des|von)",erneuter Nachweis,,,,,redemonstration av,,,,,,,,,,,,,,,,,,,,historical,,forward,forward,,,1,,,,,,,
resolution of,,Lösung von,,Lösung\s(des|der|dieses|dieser|von),,,,,,upplösning av,,,,,,,,,,,,is only valid for PE,,,,,,,,historical,,forward,forward,1,1,,,,,,,,200
resolved,,gelöst,,,,,,,,upplösta,upplöst,,,,,,,,,,,is only valid for PE,,,,,,,,historical,,backward,backward,1,1,,,,,,,,197
resolving,,lösen,,,,,,,,upplösa,upplöses,,,,,,,,,,,is only valid for PE,,,,,,,,historical,,forward,forward,1,1,,,,,,,,196
s/p,,Status danach,,,s/p,,,,,status post,,,,,,,,,,,,,,,,,,,,historical,,forward,forward,,1,,,,,,,,
sequelae of,,Folgeerscheinung von,,,Spätkomplikationen von,Komplikationen von,,,,följdtillstånd av,följdtillstånd efter,,,,,,,,,,,preposition,,,,,,,,historical,,forward,forward,1,1,,,,,,,,208
status post,,Status danach,,,Status post,,,,,status efter,status post,,,,,,,,,,,,,,,,,,,historical,,forward,forward,,1,,,,,,,,
subacute,,subakut,,"subakut.{0,2}",,,,,,subakut,,,,,,,,,,,,,,,,,,,,historical,,forward,forward,1,1,,,,,,,,193
unchanged,,unverändert,,,,,,,,oförändrad,,,,,,,,,,,,,,,,,,,,historical,,bidirectional,bidirectional,1,1,,,,,,,,202
assessment for,,Prüfung für,,(Prüfung|Beurteilung|Evaluierung)s\für,Beurteilung für,,,,,bedömning,,,,,,,,,,,,,,,,,,,,indication,,forward,forward,,,1,,,,,,,
be ruled out,,ausgeschlossen werden,,kommt\snicht\s(in(Frage|Betracht)),kommt nicht in Betracht,kommt nicht in Frage,,,,utesluten,,,,,,,,,,,,inflection,,,,,,,,indication,,backward,backward,1,,,,,,,,,162
be ruled out for,,,,,,,,,,uteslutas för,,,,,,,,,,,,,,,,,,,,indication,,forward,,1,,,,,,,,,190
checked for,,untersucht auf,,,geprüft auf,,,,,kontrolleras för,undersöks för,,,,,,,,,,,"patient som kontrolleras för >sjukdom<, kan vara allt från känd sjukdom till preb neg sjukdom, snarare anväds uttrycket för kändsjukdom som pat redan har",,,,,,,,indication,,forward,forward,1,1,,,,,,,,22
evaluate,,bewerten,,,prüfen,beurteilen,,,,evaluera,,,,,,,,,,,,,,,,,,,,indication,,forward,forward,,,,1,1,,,,,
evaluate for,,"bewerten, um",,"(bewert.{0,3}|prüf.{0,3}|beurteil.{0,3}),\s(um|damit)","prüfen, um","beurteilen, um",,,,utvärdera av,utvärdera för,utreda om,utvärdera om,undersöka om,,,,,,,,"patient som kontrolleras för >sjukdom<, kan vara allt från känd sjukdom till prob neg sjukdom, snarare anväds uttrycket för kändsjukdom som pat redan har",,,,,,,,indication,,forward,forward,1,1,,1,1,,,,,23
evaluation,,Bewertung,,,Prüfung,Beurteilung,,,,utvärdering,,,,,,,,,,,,,,,,,,,,indication,,bidirectional,bidirectional,1,,,,,,,,,181
examination,"r""\b(examination|exam|study)\b""",Untersuchung,,"(\bUntersuchung.{0,2}|Prüfung.{0,2}|Analyse.{0,2}\b)",Analyse,Prüfung,,,,granskning,undersökning,,,,,,,,,,,,,,,,,,,indication,,bidirectional,bidirectional,1,,,,,,,,,186
investigate,,untersuchen,,"(untersuch.{0,2}|analysier.{0,2}|prüf.{0,2})",analysieren,prüfen,,,,utreda,,,,,,,,,,,,,,,,,,,,indication,,forward,forward,,,,,,9,,,,
investigation,,Untersuchung,,"(Untersuchung.{0,2}|Analyse.{0,2}|Prüfung.{0,2})",Analyse,Prüfung,,,,utredning,,,,,,,,,,,,,,,,,,,,indication,,forward,forward,,,,,,11,,,,
is more sensitive,"r""""""is more sensitive""""""",ist empfindlicher,,,ist sensitiver,,,,,är mer känsliga,,,,,,,,,,,,,,,,,,,,indication,,forward,forward,,,1,,,,,,,
is to be ruled out,,wird ausgeschlossen werden,,,,,,,,skall uteslutas,,,,,,,,,,,,,,,,,,,,indication,,backward,backward,1,,,,,,,,,172
is to be ruled out for,,wird davon ausgeschlossen werden,,,,,,,,skall uteslutas för,,,,,,,,,,,,,,,,,,,,indication,,backward,backward,1,,,,,,,,,171
may be ruled out,,dürfte ausgeschlossen werden,,(dürfte|mag|kann)\svon\s.*?\s\bausgeschlossen\b\swerden,,,,,,kanske kan uteslutas,,,,,,,,,,,,strength hedging,,,,,,,,indication,,backward,backward,1,,,,,,,,,170
may be ruled out for,,dürfte davon ausgeschlossen werden,,(dürfte|mag|kann)\s(davon|von\s.*?)\s\bausgeschlossen\b\swerden,könnte davon ausgeschlossen werden,,,,,kanske kan uteslutas för,,,,,,,,,,,,strength hedging,,,,,,,,indication,,forward,backward,1,,,,,,,,,169
might be ruled out,,könnte ausgeschlossen werden,,(könnte\s.*\sausgeschlossen\swerden),,,,,,kan uteslutas,,,,,,,,,,,,,,,,,,,,indication,,backward,backward,1,,,,,,,,,178
might be ruled out for,,könnte davon ausgeschlossen werden,,,,,,,,kan uteslutas för,,,,,,,,,,,,,,,,,,,,indication,,forward,discontinuous,1,,,,,,,,,174
must be ruled out,,muss ausgeschlossen werden,,,,,,,,måste uteslutas,,,,,,,,,,,,,,,,,,,,indication,,backward,backward,1,,,,,,,,,164
must be ruled out for,,,,(muss|müssen)\s(davon|von\s.*?)\s\bausgeschlossen\b\swerden,,,,,,måste uteslutas för,,,,,,,,,,,,,,,,,,,,indication,,forward,,1,,,,,,,,,165
not been ruled out,,nicht ausgeschlossen werden,,,,,,,,inte uteslutas,inte uteslutet,,,,,,,,,,,,,,,,,,,indication,,bidirectional,backward,1,,,,,,,,,177
ought to be ruled out,,sollte ausgeschlossen werden,,(sollte|sollten)\sausgeschlossen\swerden,,,,,,borde uteslutas,,,,,,,,,,,,,,,,,,,,indication,,backward,backward,1,,,,,,,,,166
ought to be ruled out for,,,,,,,,,,borde uteslutas för,,,,,,,,,,,,,,,,,,,,indication,,forward,,1,,,,,,,,,161
protocol,,Protokoll,,,Versuchsplan,,,,,protokoll,,,,,,,,,,,,,,,,,,,,indication,,backward,backward,1,,,,,,,,,187
question,,Frage,,,,,,,,frågeställningen,fråga,frågeställning,,,,,,,,,,,,,,,,,,indication,,forward,forward,,,,,,7,,,,
risk factors for,,Risikofaktoren für,,Risikofaktoren\sfür\s(in\sBezug\sauf|hinsichtlich|bezüglich),,,,,,riskfaktorer för,,,,,,,,,,,,,,,,,,,,indication,,forward,forward,1,,,,,,,,,150
rule her out,,wird für sie ausgeschlossen,,,,,,,,utesluta henne,,,,,,,,,,,,,,,,,,,,indication,,forward,backward,1,,,,,,,,,176
rule him out,,wird für ihn ausgeschlossen,,,,,,,,utesluter honom,utesluta honom,,,,,,,,,,,"swedish: we don't rule out patient against disorde, we rule out disorder for patient",,,,,,,,indication,,forward,backward,1,,,,,,,,,173
rule him out for,,wird er davon ausgeschloissen werden,,schließt\s(sie|ihn|es|den\sPatienten|die\sPatientin)\s(davon|dagegen|gegen\s.*?|von\s.*?)\s\baus\b,,,,,,utesluta honom för,,,,,,,,,,,,"swedish: we don't rule out patient against disorde, we rule out disorder for patient",,,,,,,,indication,,forward,backward,1,,,,,,,,,168
rule out,"r""(r/o|rule out|\br o\b|r\.o\.|\bro\b)""",ausschließen,,,,,,,,uteslut,att utesluta,,,,,,,,,,,tens,,,,,,,,indication,,forward,discontinuous,1,,,,,,,,,158
rule out for,,,,,,,,,,utesluter,utesluta mot,,,,,,,,,,,prep I don't like for,,,,,,,,indication,,forward,,1,,,,,,,,,189
rule patient out for,"r""rule (him|her|patient|the patient|subject) out for""",,,,,,,,,utesluta patient för,utesluta patienten mot,,,,,,,,,,,"wrong word sens /swedish: we don't rule out patient against disorde, we rule out disorder for patient",utesluta\s(honom|henne|patientens|patienten)\sför,,,,,,,indication,,forward,,1,,,,,,,,,179
rule the patient out,,,,,,,,,,utesluta patienten,utesluta patienten mot,,,,,,,,,,,"swedish: we don't rule out patient against disorde, we rule out disorder for patient",,,,,,,,indication,,forward,,1,,,,,,,,,188
rule the patient out for,,den Patienten davon ausschließen,,,,,,,,utesluta att patienten har,utesluta patienten mot,,,,,,,,,,,"swedish: we don't rule out patient against disorde, we rule out disorder for patient",,,,,,,,indication,,forward,discontinuous,1,,,,,,,,,191
should be ruled out,,sollte ausgeschlossen werden,,,sollte nicht in Betracht gezogen werden,sollte nicht erwogen werden,,,,bör uteslutas,,,,,,,,,,,,,,,,,,,,indication,,backward,backward,1,,,,,,,,,156
should be ruled out for,,sollte davon ausgeschlossen werden,,sollt(e|en)\s(für|von)\s.*?\bausgeschlossen\b\swerden,sollte dafür nicht in Betracht gezogen werden,sollte dafür nicht erwogen werden,,,,bör uteslutas för,,,,,,,,,,,,,,,,,,,,indication,,forward,discontinuous,1,,,,,,,,,175
study for detection,,Erkennungsstudie,,\b(Erkennungsstudie|Detektionsstudie|Erkennungsuntersuchung|Detektionsuntersuchung)\b,Erkennungsuntersuchung,,,,,undersökning för detektering,,,,,,,,,,,,,,,,,,,,indication,,forward,forward,1,,,,,,,,,185
to exclude,,auszuschließen,,um\s.*?\bauszuschließen\b,,,,,,för att utesluta,,,,,,,,,,,,,,,,,,,,indication,,forward,backward,,,,,,,,,1,
what must be ruled out is,,"was ausgeschlossen werden muss, ist",,(was\sman\sausschließen\smuss|was\sman\sauszuschließen\shat|was\sauszuschließen\sist),,,,,,vad som måste uteslutas är,det som måste uteslutas är,,,,,,,,,,,,,,,,,,,indication,,forward,forward,1,,,,,,,,,183
will be ruled out,,wird ausgeschlossen werden,,,,,,,,kommer att uteslutas,,,,,,,,,,,,,,,,,,,,indication,,backward,backward,1,,,,,,,,,153
will be ruled out for,,wird davon ausgeschlossen werden,,wird\svon\s.*?\bausgeschlossen\b\swerden,,,,,,kommer att uteslutas för,,,,,,,,,,,,,,,,,,,,indication,,forward,discontinuous,1,,,,,,,,,155
acts as,,wirkt wie,,(wirkt|fungiert)\s(wie|als),fungiert wie,,,,,ter sig som,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,,,,1,
and/or,,und/oder,,(und/oder|und\s/\soder),,,,,,,,,,,,,,,,,,,,,,,,,,probableExistence,,bidirectional,bidirectional,,,,1,1,,,,,
apparent,,offensichtlich,,(offensichtlich|offenkundig|augenscheinlich|obgleich|erweck(t|en)\sden\sEindruck|mach(te|ten)\sden\sEindruck),offenkundig,erweckt den Eindruck,macht den Eindruck,,,uppenbar,synlig,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,1,,,,,
apparently,,scheinbar,,,offenbar,,,,,såvitt man kan se,synbarligen,uppenbarligen,nog,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,1,,,,,
appear,"""""\bappear\b""""",scheint,,(erschein(t|en)|scheinbar|hat\sden\sAnschein),hat den Anschein,,,,,visas vara,verkar vara,syns,framgå,framstå,framträda,förefalla,,,,,,wrong word,,,,,,,,probableExistence,,forward,forward,1,,,1,1,,,,,306
appearing,,,,,,,,,,framstår,framträder,förefaller,,,,,,,,,,,,,,,,,,probableExistence,,bidirectional,,1,,,1,1,,,,,
appears,,scheint,,,erscheint,sieht so aus,,,,synes vara,ger intryck av,ter sig,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,1,,,1,1,,,,,308
assume,,vermuten,,(nimmt\s.*?\s\ban\b|nehmens\s.*?\ban\b|unterstell(t|en)),annehmen,unterstellen,,,,förmodar,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,,,1,,
assuming,,,,,annehmend,,,,,anta,förutsätta,förmoda,ponera,ta för givet,,,,,,,,,,,,,,,,probableExistence,,forward,,,,,1,,,,,,
believe,,glauben,,"\b(glaub.{0,2}\b",,,,,,tro,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,,,1,,
but rather,,vielmehr,,,,,,,,utan snarare,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,96,,,,
can,,kann,,\b(kann|kannst|können|könnt)\b,,,,,,kan,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,,,,,,
can be,,kann sein,,(kann\ssein|kann\swerden|ist\smöglich),ist möglich,,,,,kan vara,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,bidirectional,,,,,,,,1,,
clinical picture as in,,klinisches Krankheitsbild wie in,,klinisches\s(Krankheitsbild|Bild)\swie\s(bei|in),,,,,,klinisk bild som vid,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,,,1,,
clinical picture in line with,,klinisches Krankheitsbild entsprechend,,klinisches\s(Krankheitsbild|Bild)s\(entsprechend|gemäß),,,,,,klinisk bild förenlig med,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,,,,1,
clinical suspicion of,,klinischer Verdacht auf,,,,,,,,klinisk misstanke på,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,,,,1,
compatible with,,vergleichbar mit,,(vergleich(end|bar)\smit|kompatibel\smit|im\sVergleich\s(zu|mit)),kompatibel mit,,,,,kompatibel med,förenligt med,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,1,,,,,95,,,,
conceivable,,vorstellbar,,,denkbar,absehbar,,,,tänkbar,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,,,1,,
concerning for,,bedenken,,"(bedenk.{0,2}|((hat|haben)\sBedenken))",,,,,,angående,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,1,,,,,,,
consider,,berücksichtigen,,"(berücksichtig.{0,2}|zieh.{0,2}\sin\sBetracht)",zieht in Betracht,,,,,reflektera,ta i betraktande,ta under övervägande,överväga,betänka,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,1,,,,,
considerations,,Überlegungen,,"\b(Berücksichtigung.{0,2})|Überlegung.{0,2}))\b",Berücksichtigungen,,,,,beaktande,,,,,,,,,,,,,,,,,,,,probableExistence,,bidirectional,bidirectional,,,,1,1,,,,,
considerations include,,Überlegungen umfassen,,"Überlegung.{0,2}\s(bezieh.{0,2}\ssich\sauf|umfassen|schließ.{0,2}\s.*?\s\bein\b)",,,,,,överväganden,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,1,,,,,
consistent with,,stimmt überein,,stimmt\smit\s.*?\s\büberein\b|ist\smit\s.*?\bkompatibel\b),konsistent mit,,,,,överensstämmer med,som vid,förenlig,stämmer överens,överensstämmer med,,,,,,,,,,,,,,,,probableExistence,,forward,forward,1,,,,,110,,,,
convincing,,überzeugend,,,,,,,,övertygande,,,,,,,,,,,,,,,,,,,,probableExistence,,bidirectional,bidirectional,1,,,,,,,,,310
could,,könnte,,,,,,,,,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,1,,,,,
could be,,könnte sein,,könnte\s.*?\s\bsein\b,,,,,,kunde vara,kan visa sig vara,skulle kunna vara,,,,,,,,,,,,,,,,,,probableExistence,,forward,discontinuous,,,,,,,,1,,
differential diagnosis would include,"r""differential\s((diagnosis|considerations)\s)?((would|could)\sinclud[a-z]*)?""",die Differenzialdiagnose würde,,die\sDifferenzialdiagnose\swürde(umfassen|einschließen),,,,,,differentialdiagnos skulle innefatta,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,1,,,,,,,
eventual,,schließlich,,,letztendlich,,,,,eventuellt,ev,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,26,,,,
everything pointing at,,alles läßt darauf schließen,,alles(deutet|läßt|weist)\s(darauf|darauf\shin|schließen|auf\s.*?\s\bhin\b),alles deutet darauf hin,alles weist darauf hin,,,,allt pekar på,allt tyder på,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,,,1,,
evidence,,Evidenz,,\b(Eviden(z|en)|Prüf(ung|ungen)|Beurteil(ung|ungen))\b,Beweis,Nachweis,,,,bevis,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,1,,,,,,,,,304
favor,,begünstigen,,,,,,,,understödja,förespråka,likna,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,1,,,,,
feels like,,gefühlsmäßig,,(gefühlsmäßig)|dem\sGefühl\snach)|fühlt\ssich\san\swie|fühlt\ssich\swie\s.*?\s\ban\b),dem Gefühl nach,fühlt sich an wie,,,,det känns som,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,8,,,,
felt,,fühlte,,"\b(fühlt.{0,2})\b",,,,,,känna,märka,ha en känsla av,känna av,anse,känna sig,känna sig,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,1,,,,,
guess,,vermuten,,"(vermut.{0,2}|rat.{0,2}|nehmen\s.*?\s\ban\b|nimmt\s.*?\san)",annehmen,raten,,,,gissar,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,,,1,,
I believe,,Ich glaube,,ich\s(glaube|denke|vermute|nehme\s.*?\s\ban\b|bin\sder\sMeinung|bin\sder\sÜberzeugung),Ich denke,Ich bin der Meinung,Ich bin der Überzeugung,Ich vermute,Ich nehme an,jag tror,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,19,,,,
identified,,identifiziert,,,festgestellt,,,,,identifierad,,,,,,,,,,,,,,,,,,,,probableExistence,,bidirectional,bidirectional,1,,,,,,,,,316
implied,,implizierte,,"(impliziert.{0,2)|miteinschließ.{0,2)|miteinschloss.{0,2)|schloss\s.*?\s\bmitein\b)",,,,,,implicerad,,,,,,,,,,,,Diabetes is implied/ It is implied that he has diabetes.,,,,,,,,probableExistence,,bidirectional,bidirectional,,,,,,,,1,,
implies,,impliziert,,,,,,,,implicerar,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,,,1,,
in line with,,in Übereinstimmung mit,,in\sÜbereinstimmung\smit|gemäß|in\sAnlehnung\san),gemäß,in Anlehnung an,,,,förenlig med,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,,,,1,
indicate,,zeigen,,"(zeig.{0,2}|deut.{0,2}\s.*?\s\ban\b)|((weist|wies|weisen)\s(darauf\shin|auf\s.*?\s\bhin\b))",,,,,,visa,peka på,vittna om,tyda på,indicera,indikera,indikera,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,1,,,,,
indicated,,zeigte,,,,,,,,antydd,antyder,,,,,,,,,,,,,,,,,,,probableExistence,,bidirectional,bidirectional,,,,,,,,1,,
indicates,,zeigt,,,,,,,,visa,vittna om,tyda på,indicerar,tyder på,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,1,,,,,
interpreted as,,verstanden als,,"(verstand.{0,2|interpretiert.{0,2)\sals",interpretiert als,,,,,tolkar som,tolkas som,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,,,,1,
is in the differential,"r""is\sin\sthe\sdifferential""",liegt bei den einzelnen,,(ist\sin|liegt\sbei|befindet\ssich\sbei)\s(der|den)\s(differentiellen|einzelnen|unterschiedlichen),befindet sich bei den unterschiedlichen,ist bei den unterschiedlichen,,,,är i differentialdiagnosen,,,,,,,,,,,,,,,,,,,,probableExistence,,backward,backward,,,1,,,,,,,
is understood as,,wird in dem Sinne verstanden,,wird\sals\s.*?\s\bverstanden\b|in\sdem\sSinne)\sverstanden,,,,,,får förstås som,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,backward,,,,,,,,1,,
likely,,wahrscheinlich,,,vermutlich,,,,,sannolikt,sannolik,,,,,,,,,,,,,,,,,,,probableExistence,,bidirectional,bidirectional,1,,,,,,,,,318
looks like,,sieht so aus wie,,sieht\sso\saus\swie|sieht\saus\swie|ähnelt\s(dem|der|den),sieht aus wie,ähnelt dem,,,,ser ut att,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,76,,,,
may,,dürfen,,"\b(dürf.{0,2}|mag|mögen|kann|können)\b",,,,,,skulle kunna,kunna,kan tänkas,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,,,,,,
